Seq	AOU	English_Common_Name	French_Common_Name	Spanish_Common_Name	order	family	genus	species
367	02320	Long-billed Dowitcher	Bécassin à long bec	Limnodromus scolopaceus	Charadriiformes	Scolopacidae	Limnodromus	Limnodromus scolopaceus
368	02327	unid. Short-billed / Long-billed Dowitcher	unid Bécassin roux / Bécassin à long bec	Limnodromus griseus / scolopaceus	Charadriiformes	Scolopacidae	Limnodromus	Limnodromus griseus / scolopaceus
371	02280	American Woodcock	Bécasse d'Amérique	Scolopax minor	Charadriiformes	Scolopacidae	Scolopax	Scolopax minor
375	02300	Wilson's Snipe	Bécassine de Wilson	Gallinago delicata	Charadriiformes	Scolopacidae	Gallinago	Gallinago delicata
377	02631	Common Sandpiper	Chevalier guignette	Actitis hypoleucos	Charadriiformes	Scolopacidae	Actitis	Actitis hypoleucos
378	02630	Spotted Sandpiper	Chevalier grivelé	Actitis macularius	Charadriiformes	Scolopacidae	Actitis	Actitis macularius
380	02560	Solitary Sandpiper	Chevalier solitaire	Tringa solitaria	Charadriiformes	Scolopacidae	Tringa	Tringa solitaria
382	02590	Wandering Tattler	Chevalier errant	Tringa incana	Charadriiformes	Scolopacidae	Tringa	Tringa incana
383	02550	Lesser Yellowlegs	Petit Chevalier	Tringa flavipes	Charadriiformes	Scolopacidae	Tringa	Tringa flavipes
384	02555	unid. Greater Yellowlegs / Lesser Yellowlegs	unid Grand Chevalier / Petit Chevalier	Tringa melanoleuca / flavipes	Charadriiformes	Scolopacidae	Tringa	Tringa melanoleuca / flavipes
385	02580	Willet	Chevalier semipalmé	Tringa semipalmata	Charadriiformes	Scolopacidae	Tringa	Tringa semipalmata
387	02530	Common Greenshank	Chevalier aboyeur	Tringa nebularia	Charadriiformes	Scolopacidae	Tringa	Tringa nebularia
388	02540	Greater Yellowlegs	Grand Chevalier	Tringa melanoleuca	Charadriiformes	Scolopacidae	Tringa	Tringa melanoleuca
392	02240	Wilson's Phalarope	Phalarope de Wilson	Phalaropus tricolor	Charadriiformes	Scolopacidae	Phalaropus	Phalaropus tricolor
393	02230	Red-necked Phalarope	Phalarope à bec étroit	Phalaropus lobatus	Charadriiformes	Scolopacidae	Phalaropus	Phalaropus lobatus
398	00360	Pomarine Jaeger	Labbe pomarin	Stercorarius pomarinus	Charadriiformes	Stercorariidae	Stercorarius	Stercorarius pomarinus
399	00370	Parasitic Jaeger	Labbe parasite	Stercorarius parasiticus	Charadriiformes	Stercorariidae	Stercorarius	Stercorarius parasiticus
400	00380	Long-tailed Jaeger	Labbe à longue queue	Stercorarius longicaudus	Charadriiformes	Stercorariidae	Stercorarius	Stercorarius longicaudus
402	00300	Common Murre	Guillemot marmette	Uria aalge	Charadriiformes	Alcidae	Uria	Uria aalge
403	00310	Thick-billed Murre	Guillemot de Brünnich	Uria lomvia	Charadriiformes	Alcidae	Uria	Uria lomvia
404	00315	unid. Common Murre / Thick-billed Murre	unid Guillemot marmette / Guillemot de Brünnich	Uria aalge / lomvia	Charadriiformes	Laridae	Uria	Uria aalge / lomvia
405	00320	Razorbill	Petit Pingouin	Alca torda	Charadriiformes	Alcidae	Alca	Alca torda
406	00270	Black Guillemot	Guillemot à miroir	Cepphus grylle	Charadriiformes	Alcidae	Cepphus	Cepphus grylle
407	00290	Pigeon Guillemot	Guillemot colombin	Cepphus columba	Charadriiformes	Alcidae	Cepphus	Cepphus columba
409	00230	Marbled Murrelet	Guillemot marbré	Brachyramphus marmoratus	Charadriiformes	Alcidae	Brachyramphus	Brachyramphus marmoratus
410	00240	Kittlitz's Murrelet	Guillemot de Kittlitz	Brachyramphus brevirostris	Charadriiformes	Alcidae	Brachyramphus	Brachyramphus brevirostris
414	00210	Ancient Murrelet	Guillemot à cou blanc	Synthliboramphus antiquus	Charadriiformes	Alcidae	Synthliboramphus	Synthliboramphus antiquus
415	00160	Cassin's Auklet	Starique de Cassin	Ptychoramphus aleuticus	Charadriiformes	Alcidae	Ptychoramphus	Ptychoramphus aleuticus
420	00150	Rhinoceros Auklet	Macareux rhinocéros	Cerorhinca monocerata	Charadriiformes	Alcidae	Cerorhinca	Cerorhinca monocerata
422	00140	Horned Puffin	Macareux cornu	Fratercula corniculata	Charadriiformes	Alcidae	Fratercula	Fratercula corniculata
423	00120	Tufted Puffin	Macareux huppé	Fratercula cirrhata	Charadriiformes	Alcidae	Fratercula	Fratercula cirrhata
425	00400	Black-legged Kittiwake	Mouette tridactyle	Rissa tridactyla	Charadriiformes	Laridae	Rissa	Rissa tridactyla
428	00620	Sabine's Gull	Mouette de Sabine	Xema sabini	Charadriiformes	Laridae	Xema	Xema sabini
429	00600	Bonaparte's Gull	Mouette de Bonaparte	Chroicocephalus philadelphia	Charadriiformes	Laridae	Chroicocephalus	Chroicocephalus philadelphia
431	00551	Black-headed Gull	Mouette rieuse	Chroicocephalus ridibundus	Charadriiformes	Laridae	Chroicocephalus	Chroicocephalus ridibundus
432	00601	Little Gull	Mouette pygmée	Hydrocoloeus minutus	Charadriiformes	Laridae	Hydrocoloeus	Hydrocoloeus minutus
433	00610	Ross's Gull	Mouette rosée	Rhodostethia rosea	Charadriiformes	Laridae	Rhodostethia	Rhodostethia rosea
435	00580	Laughing Gull	Mouette atricille	Leucophaeus atricilla	Charadriiformes	Laridae	Leucophaeus	Leucophaeus atricilla
436	00590	Franklin's Gull	Mouette de Franklin	Leucophaeus pipixcan	Charadriiformes	Laridae	Leucophaeus	Leucophaeus pipixcan
439	00570	Heermann's Gull	Goéland de Heermann	Larus heermanni	Charadriiformes	Laridae	Larus	Larus heermanni
440	00550	Mew Gull	Goéland cendré	Larus canus	Charadriiformes	Laridae	Larus	Larus canus
441	00540	Ring-billed Gull	Goéland à bec cerclé	Larus delawarensis	Charadriiformes	Laridae	Larus	Larus delawarensis
442	00490	Western Gull	Goéland d'Audubon	Larus occidentalis	Charadriiformes	Laridae	Larus	Larus occidentalis
444	00530	California Gull	Goéland de Californie	Larus californicus	Charadriiformes	Laridae	Larus	Larus californicus
445	00510	Herring Gull	Goéland argenté	Larus argentatus	Charadriiformes	Laridae	Larus	Larus argentatus
447	00430	Iceland Gull	Goéland arctique	Larus glaucoides	Charadriiformes	Laridae	Larus	Larus glaucoides
448	00500	Lesser Black-backed Gull	Goéland brun	Larus fuscus	Charadriiformes	Laridae	Larus	Larus fuscus
449	00480	Slaty-backed Gull	Goéland à manteau ardoisé	Larus schistisagus	Charadriiformes	Laridae	Larus	Larus schistisagus
450	00440	Glaucous-winged Gull	Goéland à ailes grises	Larus glaucescens	Charadriiformes	Laridae	Larus	Larus glaucescens
451	00495	hybrid Western Gull x Glaucous-winged Gull	hybride Goéland à ailes grises x d'Audubon	Larus occidentalis x glaucescens	Charadriiformes	Laridae	Larus	Larus occidentalis x glaucescens
452	00420	Glaucous Gull	Goéland bourgmestre	Larus hyperboreus	Charadriiformes	Laridae	Larus	Larus hyperboreus
453	00470	Great Black-backed Gull	Goéland marin	Larus marinus	Charadriiformes	Laridae	Larus	Larus marinus
455	00534	unid. gull	unid Goéland sp.	Gull sp.	Charadriiformes	Laridae	Gull	Gull sp.
462	00730	Aleutian Tern	Sterne des Aléoutiennes	Onychoprion aleuticus	Charadriiformes	Laridae	Onychoprion	Onychoprion aleuticus
463	00740	Least Tern	Petite Sterne	Sternula antillarum	Charadriiformes	Laridae	Sternula	Sternula antillarum
465	00630	Gull-billed Tern	Sterne hansel	Gelochelidon nilotica	Charadriiformes	Laridae	Gelochelidon	Gelochelidon nilotica
466	00640	Caspian Tern	Sterne caspienne	Hydroprogne caspia	Charadriiformes	Laridae	Hydroprogne	Hydroprogne caspia
467	00770	Black Tern	Guifette noire	Chlidonias niger	Charadriiformes	Laridae	Chlidonias	Chlidonias niger
470	00720	Roseate Tern	Sterne de Dougall	Sterna dougallii	Charadriiformes	Laridae	Sterna	Sterna dougallii
471	00700	Common Tern	Sterne pierregarin	Sterna hirundo	Charadriiformes	Laridae	Sterna	Sterna hirundo
472	00710	Arctic Tern	Sterne arctique	Sterna paradisaea	Charadriiformes	Laridae	Sterna	Sterna paradisaea
473	00690	Forster's Tern	Sterne de Forster	Sterna forsteri	Charadriiformes	Laridae	Sterna	Sterna forsteri
474	00650	Royal Tern	Sterne royale	Thalasseus maximus	Charadriiformes	Laridae	Thalasseus	Thalasseus maximus
475	00670	Sandwich Tern	Sterne caugek	Thalasseus sandvicensis	Charadriiformes	Laridae	Thalasseus	Thalasseus sandvicensis
476	00660	Elegant Tern	Sterne élégante	Thalasseus elegans	Charadriiformes	Laridae	Thalasseus	Thalasseus elegans
477	00634	unid. tern	unid Sterne sp.	Tern sp.	Charadriiformes	Laridae	Tern	Tern sp.
478	00800	Black Skimmer	Bec-en-ciseaux noir	Rynchops niger	Charadriiformes	Laridae	Rynchops	Rynchops niger
483	00110	Red-throated Loon	Plongeon catmarin	Gavia stellata	Gaviiformes	Gaviidae	Gavia	Gavia stellata
484	00090	Arctic Loon	Plongeon arctique	Gavia arctica	Gaviiformes	Gaviidae	Gavia	Gavia arctica
485	00100	Pacific Loon	Plongeon du Pacifique	Gavia pacifica	Gaviiformes	Gaviidae	Gavia	Gavia pacifica
486	00070	Common Loon	Plongeon huard	Gavia immer	Gaviiformes	Gaviidae	Gavia	Gavia immer
487	00080	Yellow-billed Loon	Plongeon à bec blanc	Gavia adamsii	Gaviiformes	Gaviidae	Gavia	Gavia adamsii
488	00077	unid. loon	plongeon sp.	Gavia sp.	Gaviiformes	Gaviidae	Gavia	Gavia sp.
499	00860	Northern Fulmar	Fulmar boréal	Fulmarus glacialis	Procellariiformes	Procellariidae	Fulmarus	Fulmarus glacialis
522	00880	Cory's Shearwater	Puffin cendré	Calonectris diomedea	Procellariiformes	Procellariidae	Calonectris	Calonectris diomedea
533	00900	Manx Shearwater	Puffin des Anglais	Puffinus puffinus	Procellariiformes	Procellariidae	Puffinus	Puffinus puffinus
545	01060	Leach's Storm-Petrel	Océanite cul-blanc	Oceanodroma leucorhoa	Procellariiformes	Hydrobatidae	Oceanodroma	Oceanodroma leucorhoa
556	01880	Wood Stork	Tantale d'Amérique	Mycteria americana	Ciconiiformes	Ciconiidae	Mycteria	Mycteria americana
557	01280	Magnificent Frigatebird	Frégate superbe	Fregata magnificens	Suliformes	Fregatidae	Fregata	Fregata magnificens
560	01140	Masked Booby	Fou masqué	Sula dactylatra	Suliformes	Sulidae	Sula	Sula dactylatra
562	01141	Blue-footed Booby	Fou à pieds bleus	Sula nebouxii	Suliformes	Sulidae	Sula	Sula nebouxii
563	01150	Brown Booby	Fou brun	Sula leucogaster	Suliformes	Sulidae	Sula	Sula leucogaster
565	01170	Northern Gannet	Fou de Bassan	Morus bassanus	Suliformes	Sulidae	Morus	Morus bassanus
566	01220	Brandt's Cormorant	Cormoran de Brandt	Phalacrocorax penicillatus	Suliformes	Phalacrocoracidae	Phalacrocorax	Phalacrocorax penicillatus
567	01210	Neotropic Cormorant	Cormoran vigua	Phalacrocorax brasilianus	Suliformes	Phalacrocoracidae	Phalacrocorax	Phalacrocorax brasilianus
568	01200	Double-crested Cormorant	Cormoran à aigrettes	Phalacrocorax auritus	Suliformes	Phalacrocoracidae	Phalacrocorax	Phalacrocorax auritus
569	01206	unid. Double-crested Cormorant / Great Cormorant	Cormoran à aigrettes / Grand Cormoran	Phalacrocorax auritus / carbo	Suliformes	Phalacrocoracidae	Phalacrocorax	Phalacrocorax auritus / carbo
570	01190	Great Cormorant	Grand Cormoran	Phalacrocorax carbo	Suliformes	Phalacrocoracidae	Phalacrocorax	Phalacrocorax carbo
571	01205	unid. Neotropic / Double-crested Cormorant	Cormoran vigua / Cormoran à aigrettes	Phalacrocorax brasilianus / auritus	Suliformes	Phalacrocoracidae	Phalacrocorax	Phalacrocorax brasilianus / auritus
573	01230	Pelagic Cormorant	Cormoran pélagique	Phalacrocorax pelagicus	Suliformes	Phalacrocoracidae	Phalacrocorax	Phalacrocorax pelagicus
574	01207	unid. west coast cormorant	unid Cormoran de la côte ouest	Phalacrocorax sp.	Suliformes	Phalacrocoracidae	Phalacrocorax	Phalacrocorax sp.
575	01180	Anhinga	Anhinga d'Amérique	Anhinga anhinga	Suliformes	Anhingidae	Anhinga	Anhinga anhinga
576	01250	American White Pelican	Pélican d'Amérique	Pelecanus erythrorhynchos	Pelecaniformes	Pelecanidae	Pelecanus	Pelecanus erythrorhynchos
577	01260	Brown Pelican	Pélican brun	Pelecanus occidentalis	Pelecaniformes	Pelecanidae	Pelecanus	Pelecanus occidentalis
579	01900	American Bittern	Butor d'Amérique	Botaurus lentiginosus	Pelecaniformes	Ardeidae	Botaurus	Botaurus lentiginosus
581	01910	Least Bittern	Petit Blongios	Ixobrychus exilis	Pelecaniformes	Ardeidae	Ixobrychus	Ixobrychus exilis
583	01940	Great Blue Heron	Grand Héron	Ardea herodias	Pelecaniformes	Ardeidae	Ardea	Ardea herodias
584	01920	(Great White Heron) Great Blue Heron	Grand Héron (blanche)	Ardea herodias occidentalis	Pelecaniformes	Ardeidae	Ardea	Ardea herodias occidentalis
586	01960	Great Egret	Grande Aigrette	Ardea alba	Pelecaniformes	Ardeidae	Ardea	Ardea alba
589	01961	Little Egret	Aigrette garzette	Egretta garzetta	Pelecaniformes	Ardeidae	Egretta	Egretta garzetta
591	01970	Snowy Egret	Aigrette neigeuse	Egretta thula	Pelecaniformes	Ardeidae	Egretta	Egretta thula
592	02000	Little Blue Heron	Aigrette bleue	Egretta caerulea	Pelecaniformes	Ardeidae	Egretta	Egretta caerulea
593	01990	Tricolored Heron	Aigrette tricolore	Egretta tricolor	Pelecaniformes	Ardeidae	Egretta	Egretta tricolor
594	01980	Reddish Egret	Aigrette roussâtre	Egretta rufescens	Pelecaniformes	Ardeidae	Egretta	Egretta rufescens
595	02001	Cattle Egret	Héron garde-boeufs	Bubulcus ibis	Pelecaniformes	Ardeidae	Bubulcus	Bubulcus ibis
597	02010	Green Heron	Héron vert	Butorides virescens	Pelecaniformes	Ardeidae	Butorides	Butorides virescens
600	02020	Black-crowned Night-Heron	Bihoreau gris	Nycticorax nycticorax	Pelecaniformes	Ardeidae	Nycticorax	Nycticorax nycticorax
601	02030	Yellow-crowned Night-Heron	Bihoreau violacé	Nyctanassa violacea	Pelecaniformes	Ardeidae	Nyctanassa	Nyctanassa violacea
602	02035	unid Black-crowned / Yellow-crowned Night-Heron	unid Bihoreau gris / Bihoreau violacé	Nycticorax / Nyctanassa nycticorax / violacea	Pelecaniformes	Ardeidae	Nycticorax / Nyctanassa	Nycticorax / Nyctanassa nycticorax / violacea
604	01945	unid. heron / egret	unid héron / aigrette sp.	Ardeid sp.	Pelecaniformes	Ardeidae	Ardeid	Ardeid sp.
605	01840	White Ibis	Ibis blanc	Eudocimus albus	Pelecaniformes	Threskiornithidae	Eudocimus	Eudocimus albus
607	01860	Glossy Ibis	Ibis falcinelle	Plegadis falcinellus	Pelecaniformes	Threskiornithidae	Plegadis	Plegadis falcinellus
608	01870	White-faced Ibis	Ibis à face blanche	Plegadis chihi	Pelecaniformes	Threskiornithidae	Plegadis	Plegadis chihi
609	01861	unid. Glossy Ibis / White-faced Ibis	unid Ibis falcinelle / Ibis à face blanche	Plegadis falcinellus / chihi	Pelecaniformes	Threskiornithidae	Plegadis	Plegadis falcinellus / chihi
610	01830	Roseate Spoonbill	Spatule rosée	Platalea ajaja	Pelecaniformes	Threskiornithidae	Platalea	Platalea ajaja
611	03260	Black Vulture	Urubu noir	Coragyps atratus	Cathartiformes	Cathartidae	Coragyps	Coragyps atratus
612	03250	Turkey Vulture	Urubu à tête rouge	Cathartes aura	Cathartiformes	Cathartidae	Cathartes	Cathartes aura
614	03255	unid. Black Vulture / Turkey Vulture	unid Urubu noir / Urubu à tête rouge	Coragyps / Cathartes atratus / aura	Accipitriformes	Cathartidae	Coragyps / Cathartes	Coragyps / Cathartes atratus / aura
615	03240	California Condor	Condor de Californie	Gymnogyps californianus	Cathartiformes	Cathartidae	Gymnogyps	Gymnogyps californianus
617	03640	Osprey	Balbuzard pêcheur	Pandion haliaetus	Accipitriformes	Pandionidae	Pandion	Pandion haliaetus
619	03271	Hook-billed Kite	Milan bec-en-croc	Chondrohierax uncinatus	Accipitriformes	Accipitridae	Chondrohierax	Chondrohierax uncinatus
620	03270	Swallow-tailed Kite	Milan à queue fourchue	Elanoides forficatus	Accipitriformes	Accipitridae	Elanoides	Elanoides forficatus
621	03280	White-tailed Kite	Élanion à queue blanche	Elanus leucurus	Accipitriformes	Accipitridae	Elanus	Elanus leucurus
622	03300	Snail Kite	Milan des marais	Rostrhamus sociabilis	Accipitriformes	Accipitridae	Rostrhamus	Rostrhamus sociabilis
624	03290	Mississippi Kite	Milan du Mississippi	Ictinia mississippiensis	Accipitriformes	Accipitridae	Ictinia	Ictinia mississippiensis
627	03520	Bald Eagle	Pygargue à tête blanche	Haliaeetus leucocephalus	Accipitriformes	Accipitridae	Haliaeetus	Haliaeetus leucocephalus
631	03310	Northern Harrier	Busard des marais	Circus hudsonius	Accipitriformes	Accipitridae	Circus	Circus hudsonius
633	03320	Sharp-shinned Hawk	Épervier brun	Accipiter striatus	Accipitriformes	Accipitridae	Accipiter	Accipiter striatus
634	03330	Cooper's Hawk	Épervier de Cooper	Accipiter cooperii	Accipitriformes	Accipitridae	Accipiter	Accipiter cooperii
636	03340	Northern Goshawk	Autour des palombes	Accipiter gentilis	Accipitriformes	Accipitridae	Accipiter	Accipiter gentilis
637	03333	unid. Accipiter hawk	unid épervier sp.	Accipiter sp.	Accipitriformes	Accipitridae	Accipiter	Accipiter sp.
639	03450	Common Black Hawk	Buse noire	Buteogallus anthracinus	Accipitriformes	Accipitridae	Buteogallus	Buteogallus anthracinus
643	03350	Harris's Hawk	Buse de Harris	Parabuteo unicinctus	Accipitriformes	Accipitridae	Parabuteo	Parabuteo unicinctus
644	03410	White-tailed Hawk	Buse à queue blanche	Geranoaetus albicaudatus	Accipitriformes	Accipitridae	Geranoaetus	Geranoaetus albicaudatus
646	03460	Gray Hawk	Buse grise	Buteo plagiatus	Accipitriformes	Accipitridae	Buteo	Buteo plagiatus
647	03390	Red-shouldered Hawk	Buse à épaulettes	Buteo lineatus	Accipitriformes	Accipitridae	Buteo	Buteo lineatus
648	03430	Broad-winged Hawk	Petite Buse	Buteo platypterus	Accipitriformes	Accipitridae	Buteo	Buteo platypterus
649	03440	Short-tailed Hawk	Buse à queue courte	Buteo brachyurus	Accipitriformes	Accipitridae	Buteo	Buteo brachyurus
650	03420	Swainson's Hawk	Buse de Swainson	Buteo swainsoni	Accipitriformes	Accipitridae	Buteo	Buteo swainsoni
651	03400	Zone-tailed Hawk	Buse à queue barrée	Buteo albonotatus	Accipitriformes	Accipitridae	Buteo	Buteo albonotatus
652	03370	Red-tailed Hawk	Buse à queue rousse	Buteo jamaicensis	Accipitriformes	Accipitridae	Buteo	Buteo jamaicensis
653	03380	(Harlan's Hawk) Red-tailed Hawk	Buse à queue rousse (groupe harlani)	Buteo jamaicensis harlani	Accipitriformes	Accipitridae	Buteo	Buteo jamaicensis harlani
654	03470	Rough-legged Hawk	Buse pattue	Buteo lagopus	Accipitriformes	Accipitridae	Buteo	Buteo lagopus
655	03480	Ferruginous Hawk	Buse rouilleuse	Buteo regalis	Accipitriformes	Accipitridae	Buteo	Buteo regalis
656	03451	unid. Buteo hawk	unid Buse sp.	Buteo sp.	Accipitriformes	Accipitridae	Buteo	Buteo sp.
659	03490	Golden Eagle	Aigle royal	Aquila chrysaetos	Accipitriformes	Accipitridae	Aquila	Aquila chrysaetos
663	03650	Barn Owl	Effraie des clochers	Tyto alba	Strigiformes	Tytonidae	Tyto	Tyto alba
665	03740	Flammulated Owl	Petit-duc nain	Psiloscops flammeolus	Strigiformes	Strigidae	Psiloscops	Psiloscops flammeolus
666	03732	Western Screech-Owl	Petit-duc des montagnes	Megascops kennicottii	Strigiformes	Strigidae	Megascops	Megascops kennicottii
667	03730	Eastern Screech-Owl	Petit-duc maculé	Megascops asio	Strigiformes	Strigidae	Megascops	Megascops asio
670	03731	Whiskered Screech-Owl	Petit-duc à moustaches	Megascops trichopsis	Strigiformes	Strigidae	Megascops	Megascops trichopsis
675	03750	Great Horned Owl	Grand-duc d'Amérique	Bubo virginianus	Strigiformes	Strigidae	Bubo	Bubo virginianus
676	03760	Snowy Owl	Harfang des neiges	Bubo scandiacus	Strigiformes	Strigidae	Bubo	Bubo scandiacus
677	03770	Northern Hawk Owl	Chouette épervière	Surnia ulula	Strigiformes	Strigidae	Surnia	Surnia ulula
678	03790	Northern Pygmy-Owl	Chevêchette naine	Glaucidium gnoma	Strigiformes	Strigidae	Glaucidium	Glaucidium gnoma
682	03800	Ferruginous Pygmy-Owl	Chevêchette brune	Glaucidium brasilianum	Strigiformes	Strigidae	Glaucidium	Glaucidium brasilianum
683	03810	Elf Owl	Chevêchette des saguaros	Micrathene whitneyi	Strigiformes	Strigidae	Micrathene	Micrathene whitneyi
684	03780	Burrowing Owl	Chevêche des terriers	Athene cunicularia	Strigiformes	Strigidae	Athene	Athene cunicularia
687	03690	Spotted Owl	Chouette tachetée	Strix occidentalis	Strigiformes	Strigidae	Strix	Strix occidentalis
688	03680	Barred Owl	Chouette rayée	Strix varia	Strigiformes	Strigidae	Strix	Strix varia
690	03700	Great Gray Owl	Chouette lapone	Strix nebulosa	Strigiformes	Strigidae	Strix	Strix nebulosa
691	03660	Long-eared Owl	Hibou moyen-duc	Asio otus	Strigiformes	Strigidae	Asio	Asio otus
693	03670	Short-eared Owl	Hibou des marais	Asio flammeus	Strigiformes	Strigidae	Asio	Asio flammeus
695	03710	Boreal Owl	Nyctale de Tengmalm	Aegolius funereus	Strigiformes	Strigidae	Aegolius	Aegolius funereus
696	03720	Northern Saw-whet Owl	Petite Nyctale	Aegolius acadicus	Strigiformes	Strigidae	Aegolius	Aegolius acadicus
703	03890	Elegant Trogon	Trogon élégant	Trogon elegans	Trogoniformes	Trogonidae	Trogon	Trogon elegans
716	03901	Ringed Kingfisher	Martin-pêcheur à ventre roux	Megaceryle torquata	Coraciiformes	Alcedinidae	Megaceryle	Megaceryle torquata
717	03900	Belted Kingfisher	Martin-pêcheur d'Amérique	Megaceryle alcyon	Coraciiformes	Alcedinidae	Megaceryle	Megaceryle alcyon
719	03910	Green Kingfisher	Martin-pêcheur vert	Chloroceryle americana	Coraciiformes	Alcedinidae	Chloroceryle	Chloroceryle americana
728	04080	Lewis's Woodpecker	Pic de Lewis	Melanerpes lewis	Piciformes	Picidae	Melanerpes	Melanerpes lewis
729	04060	Red-headed Woodpecker	Pic à tête rouge	Melanerpes erythrocephalus	Piciformes	Picidae	Melanerpes	Melanerpes erythrocephalus
730	04070	Acorn Woodpecker	Pic glandivore	Melanerpes formicivorus	Piciformes	Picidae	Melanerpes	Melanerpes formicivorus
735	04110	Gila Woodpecker	Pic des saguaros	Melanerpes uropygialis	Piciformes	Picidae	Melanerpes	Melanerpes uropygialis
736	04100	Golden-fronted Woodpecker	Pic à front doré	Melanerpes aurifrons	Piciformes	Picidae	Melanerpes	Melanerpes aurifrons
737	04090	Red-bellied Woodpecker	Pic à ventre roux	Melanerpes carolinus	Piciformes	Picidae	Melanerpes	Melanerpes carolinus
738	04040	Williamson's Sapsucker	Pic de Williamson	Sphyrapicus thyroideus	Piciformes	Picidae	Sphyrapicus	Sphyrapicus thyroideus
739	04020	Yellow-bellied Sapsucker	Pic maculé	Sphyrapicus varius	Piciformes	Picidae	Sphyrapicus	Sphyrapicus varius
740	04021	Red-naped Sapsucker	Pic à nuque rouge	Sphyrapicus nuchalis	Piciformes	Picidae	Sphyrapicus	Sphyrapicus nuchalis
741	04030	Red-breasted Sapsucker	Pic à poitrine rouge	Sphyrapicus ruber	Piciformes	Picidae	Sphyrapicus	Sphyrapicus ruber
742	04022	unid. sapsucker	unid Sphyrapicus sp.	Sphyrapicus sp.	Piciformes	Picidae	Sphyrapicus	Sphyrapicus sp.
744	03960	Ladder-backed Woodpecker	Pic arlequin	Picoides scalaris	Piciformes	Picidae	Picoides	Picoides scalaris
745	03970	Nuttall's Woodpecker	Pic de Nuttall	Picoides nuttallii	Piciformes	Picidae	Picoides	Picoides nuttallii
746	03940	Downy Woodpecker	Pic mineur	Picoides pubescens	Piciformes	Picidae	Picoides	Picoides pubescens
748	03930	Hairy Woodpecker	Pic chevelu	Picoides villosus	Piciformes	Picidae	Picoides	Picoides villosus
749	03975	Arizona Woodpecker	Pic d'Arizona	Picoides arizonae	Piciformes	Picidae	Picoides	Picoides arizonae
751	03950	Red-cockaded Woodpecker	Pic à face blanche	Picoides borealis	Piciformes	Picidae	Picoides	Picoides borealis
752	03990	White-headed Woodpecker	Pic à tête blanche	Picoides albolarvatus	Piciformes	Picidae	Picoides	Picoides albolarvatus
753	04010	American Three-toed Woodpecker	Pic à dos rayé	Picoides dorsalis	Piciformes	Picidae	Picoides	Picoides dorsalis
754	04000	Black-backed Woodpecker	Pic à dos noir	Picoides arcticus	Piciformes	Picidae	Picoides	Picoides arcticus
757	04123	(unid. Red/Yellow Shafted) Northern Flicker	Pic flamboyant (groupe non identifié)	Colaptes auratus	Piciformes	Picidae	Colaptes	Colaptes auratus
758	04120	(Yellow-shafted Flicker) Northern Flicker	Pic flamboyant (groupe auratus)	Colaptes auratus auratus	Piciformes	Picidae	Colaptes	Colaptes auratus auratus
759	04130	(Red-shafted Flicker) Northern Flicker	Pic flamboyant (groupe cafer)	Colaptes auratus cafer	Piciformes	Picidae	Colaptes	Colaptes auratus cafer
760	04125	hybrid Northern Flicker (Red x Yellow-shafted)	hybride Pic flamboyant (cafer x auratus)	Colaptes auratus auratus x auratus cafer	Piciformes	Picidae	Colaptes	Colaptes auratus auratus x auratus cafer
761	04140	Gilded Flicker	Pic chrysoïde	Colaptes chrysoides	Piciformes	Picidae	Colaptes	Colaptes chrysoides
764	04050	Pileated Woodpecker	Grand Pic	Dryocopus pileatus	Piciformes	Picidae	Dryocopus	Dryocopus pileatus
